LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
7m23s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-57pv8
7m23s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-dlck9
7m23s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-dlck9                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-dlck9 to ampere
7m23s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-vcp8r                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-vcp8r to ampere
7m23s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-sr265                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-sr265 to ampere
7m23s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-4wcx4                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-4wcx4 to ampere
7m23s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-57pv8                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-57pv8 to ampere
7m23s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-5cdrn                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc107904f28 {14014679572488811860 109670209567592 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m23s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-5cdrn                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-5cdrn to ampere
7m23s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-xcndg                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc062679560 {14014679572523478656 109670244234393 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m23s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-xcndg                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-xcndg to ampere
7m23s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-57pv8                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc107904f28 {14014679572488811860 109670209567592 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m22s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-z84rk                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-z84rk to ampere
7m22s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-z84rk
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-62mzh                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-cnhcv                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-cnhcv to ampere
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-wmpwh                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-xsr8w                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-xsr8w to ampere
