mig_uuid,mig_name,model,batch,seq_len,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,64,bf16,hf,5.8834,5.8932,6.0073,230.76,274.00,9386.94,9386.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,128,bf16,hf,6.0418,5.9947,6.2294,236.39,274.00,9386.94,9386.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,256,bf16,hf,6.5061,6.4632,6.6629,247.65,274.00,9386.94,9386.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,512,bf16,hf,12.2062,12.1921,12.2581,270.17,306.00,9386.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,16,bf16,hf,5.7116,5.6961,5.7936,227.94,306.00,9354.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,32,bf16,hf,5.7789,5.7674,5.8927,230.76,306.00,9354.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,64,bf16,hf,5.8995,5.8675,6.0242,236.39,306.00,9354.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,128,bf16,hf,6.4747,6.3928,6.4157,247.65,306.00,9354.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,256,bf16,hf,11.8906,11.8891,11.9133,270.17,306.00,9354.94,9354.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,8,512,bf16,hf,23.2578,23.2533,23.2711,315.22,378.00,9354.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,16,bf16,hf,5.8653,5.8170,6.0460,230.76,378.00,9282.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,32,bf16,hf,5.9435,5.9551,6.0401,236.39,378.00,9282.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,64,bf16,hf,6.5468,6.5425,6.5838,247.65,378.00,9282.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,128,bf16,hf,11.8060,11.7883,11.8148,270.17,378.00,9282.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,256,bf16,hf,22.6204,22.6166,22.6495,315.22,378.00,9282.94,9282.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,16,512,bf16,hf,44.6687,44.6556,44.7463,405.31,522.00,9282.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,16,bf16,hf,5.9282,5.9145,6.0624,236.39,522.00,9138.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,32,bf16,hf,6.7924,6.7899,6.8161,247.65,522.00,9138.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,64,bf16,hf,12.0297,12.0264,12.0450,270.17,522.00,9138.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,128,bf16,hf,22.4310,22.4377,22.4682,315.22,522.00,9138.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,256,bf16,hf,43.2944,43.2724,43.3652,405.31,522.00,9138.94,9138.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,32,512,bf16,hf,86.8143,86.8143,86.8458,585.50,858.00,9138.94,8802.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,16,bf16,hf,5.9787,5.9746,6.0983,225.48,230.00,19456.94,19398.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,32,bf16,hf,6.0736,6.0881,6.1686,225.83,230.00,19398.94,19398.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,64,bf16,hf,6.0172,6.0056,6.1729,226.53,232.00,19398.94,19396.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,128,bf16,hf,6.0663,6.0748,6.1720,227.94,232.00,19396.94,19396.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,256,bf16,hf,5.9268,5.8976,6.0641,230.76,254.00,19396.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,1,512,bf16,hf,5.9730,5.9621,6.1366,236.39,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,16,bf16,hf,6.2538,6.1541,6.3253,225.83,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,32,bf16,hf,6.1920,6.1028,6.4972,226.53,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,64,bf16,hf,6.2121,6.0911,6.5473,227.94,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,128,bf16,hf,5.9376,5.9321,6.0526,230.76,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,256,bf16,hf,5.9672,5.9523,6.0711,236.39,254.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,bert-base-uncased,2,512,bf16,hf,6.3845,6.1900,6.7740,247.65,274.00,19374.94,19354.94
